province,city,citycode,eprice,district_gdp,district_pop,budget,ind_electricity
Beijing,Beijing,110000,0.630995833,4.3761,2184.3,797.16333,27.52332
Tianjin,Tianjin,120000,0.655716667,1.6737,1363,328.04209,62.70972
Hebei,Shijiazhuang,130100,0.556133333,0.47509238,568.4,127.48334,35.35705
Hebei,Qinhuangdao,130300,0.556133333,0.13552543,152.28,37.81518,12.75477
Hebei,Handan,130400,0.630004167,0.18075015,382.87,87.16485,32.65674
Hebei,Xingtai,130500,0.630004167,0.08126558,209.63,64.17403,23.13018
Hebei,Baoding,130600,0.630004167,0.17972585,289.71,142.06176,23.22203
Hebei,Zhangjiakou,130700,0.556133333,0.0886223,175.95,69.40043,10.25991
Hebei,Chengde,130800,0.556133333,0.04747748,59.5,46.96114,17.75762
Hebei,Cangzhou,130900,0.630004167,0.06608719,71.72,73.09062,32.72012
Hebei,Langfang,131000,0.630004167,0.1072158,89.21,59.54637,18.08905
Hebei,Hengshui,131100,0.630004167,0.06334863,107.94,44.03376,10.4354
Shanxi,Taiyuan,140100,0.5092,0.5010807,418.7,77.72629,18.78567
Shanxi,Datong,140200,0.5092,0.13904245,159.98,46.45991,12.9573
Shanxi,Changzhi,140400,0.5092,0.13941392,162.19,57.26231,18.01291
Shanxi,Jincheng,140500,0.5092,0.04307554,43.01,43.12389,19.54022
Shanxi,Shuozhou,140600,0.5092,0.07811288,69.19,29.24664,8.35001
Shanxi,Yuncheng,140800,0.5092,0.04128154,65,51.91726,27.47642
Shanxi,Xinzhou,140900,0.5092,0.02566083,56.36,45.57528,10.67191
Shanxi,Linfen,141000,0.5092,0.04755227,93.81,54.4105,18.85439
Shanxi,Lvliang,141100,0.5092,0.02223408,46.4,62.29776,23.93189
Inner Mongolia,Hohhot,150100,0.472,0.27257051,152.49,59.2973,27.06056
Inner Mongolia,Baotou,150200,0.472,0.37983137,158.03,47.49991,96.233
Inner Mongolia,Chifeng,150400,0.503,0.08871556,119.33,67.82607,17.11206
Inner Mongolia,Ordos,150600,0.472,0.11716009,32.83,111.95007,87.658
Inner Mongolia,Ulanqab,150900,0.472,0.02660234,31.78,41.58282,62.32606
Liaoning,Shenyang,210100,0.5476,0.74703051,625,108.40553,17.92174
Liaoning,Anshan,210300,0.5476,0.10516303,142.16,31.046,25.94701
Liaoning,Fushun,210400,0.5476,0.08007014,121.55,17.79568,8.51804
Liaoning,Dandong,210600,0.5476,0.0357343,75.76,23.95131,7.07431
Liaoning,Jinzhou,210700,0.5476,0.07055922,94.58,27.89192,5.5142
Liaoning,Yingkou,210800,0.5476,0.09896333,93.77,25.11315,22.71851
Liaoning,Liaoyang,211000,0.5476,0.05602355,82.8,21.29469,8.94399
Liaoning,Panjin,211100,0.5476,0.12305106,98.57,21.00965,10.0446
Liaoning,Tieling,211200,0.5476,0.01777433,53.4,23.82291,5.34246
Liaoning,Chaoyang,211300,0.5476,0.03217029,61,31.83135,3.80554
Jilin,Changchun,220100,0.593621034,0.5797943,436.19,107.49675,14.9902
Jilin,Jilin,220200,0.593621034,0.10137849,176.51,41.11089,12.57
Jilin,Siping,220300,0.593621034,0.01999236,65.78,24.07889,3.17324
Jilin,Tonghua,220500,0.593621034,0.017002,42.48,20.15575,2.89199
Jilin,Songyuan,220700,0.593621034,0.03024874,55.15,31.09263,3.57916
Heilongjiang,Harbin,230100,0.593,0.43125277,551.39,108.0697,11.75803
Heilongjiang,Qiqihar,230200,0.593,0.04997966,126.51,60.58974,5.78226
Heilongjiang,Shuangyashan,230500,0.593,0.0202028,96.1,19.84343,3.5691
Heilongjiang,Daqing,230600,0.593,0.23235979,134.4,36.89535,19.40734
Heilongjiang,Jiamusi,230800,0.593,0.02234534,73.36,37.00794,2.16334
Heilongjiang,Qitaihe,230900,0.593,0.01966483,44.9,10.35681,2.16914
Heilongjiang,Mudanjiang,231000,0.593,0.03129646,80.63,35.18609,4.44792
Heilongjiang,Heihe,231100,0.593,0.00839503,17.66,29.06825,3.51762
Heilongjiang,Suihua,231200,0.593,0.02179341,79.12,51.33785,4.12693
Shanghai,Shanghai,310000,0.723333333,4.7219,2475.89,963.85132,84.15199
Jiangsu,Nanjing,320100,0.652,1.7421,739.36,183.86959,36.5832
Jiangsu,Xuzhou,320300,0.652,0.440345,329.16,105.68958,26.05917
Jiangsu,Changzhou,320400,0.652,0.855878,311.03,85.47676,46.63599
Jiangsu,Suzhou,320500,0.652,1.16115,402.66,262.12766,123.53753
Jiangsu,Nantong,320600,0.652,0.601393,312.31,118.09328,45.03896
Jiangsu,Lianyungang,320700,0.652,0.266589,223.26,57.46961,21.64188
Jiangsu,Huai'an,320800,0.652,0.329344,331.52,71.73479,17.45133
Jiangsu,Yancheng,320900,0.652,0.292383,245.23,122.8229,32.19512
Jiangsu,Yangzhou,321000,0.652,0.438185,228.11,71.12383,21.4664
Jiangsu,Zhenjiang,321100,0.652,0.23412,103.3,53.39472,21.61338
Jiangsu,Taizhou,321200,0.652,0.284329,162.14,69.74206,26.8197
Jiangsu,Suqian,321300,0.652,0.15601,177.77,64.1837,21.30508
Zhejiang,Hangzhou,330100,0.684416667,1.88591709,971.25,263.6227,43.56923
Zhejiang,Ningbo,330200,0.684416667,1.04711676,314.21,223.50944,72.38621
Zhejiang,Wenzhou,330300,0.684416667,0.33302639,177.91,117.59428,31.51605
Zhejiang,Jiaxing,330400,0.684416667,0.19064019,105.19,82.699,55.77363
Zhejiang,Huzhou,330500,0.684416667,0.18252401,105.49,60.69736,26.4778
Zhejiang,Shaoxing,330600,0.684416667,0.4678677,224.3,77.86417,41.09128
Zhejiang,Jinhua,330700,0.684416667,0.11254376,100.77,84.84768,34.97707
Zhejiang,Quzhou,330800,0.684416667,0.09981276,85.27,60.64818,17.78456
