city_name,candidate_num,knee_cost,knee_emission,knee_built_cs,knee_fast_per_cs,knee_slow_per_cs,knee_extra_large,knee_extra_medium,knee_extra_small,large_model,medium_model,small_model,knee_built_ratio
北京市,1551,3942.132406,98555.56178,673,2.124814264,9.575037147,659,16,11,4,2,1,0.43
重庆市,1260,2477.214319,55145.06504,550,1.829090909,9.232727273,116,24,3,4,2,1,0.44
上海市,1241,2524.641741,68330.8963,457,2.350109409,10.59080963,305,35,1,4,2,1,0.37
杭州市,1098,1505.991825,42205.93273,357,1.266106443,8.254901961,459,76,4,4,2,1,0.33
广州市,944,2440.073203,60443.24059,391,2.002557545,9.803069054,310,14,3,4,2,1,0.41
成都市,901,1619.150154,42710.45955,287,2.386759582,10.68292683,82,17,0,4,2,1,0.32
天津市,707,1137.358256,36370.33111,204,2.083333333,10.32843137,340,1,0,4,2,1,0.29
武汉市,701,1222.804843,33373.37667,243,1.724279835,8.880658436,158,10,0,4,2,0,0.35
南京市,643,1369.514568,33688.31606,203,3.738916256,11.70935961,140,6,2,4,2,1,0.32
深圳市,626,1656.475783,47809.35818,213,3.633802817,13.67605634,214,6,0,4,2,1,0.34
济南市,567,1452.746162,46915.08243,150,5.32,13.26,487,62,1,4,2,1,0.26
佛山市,567,970.5201284,29704.18907,157,2.203821656,11.38216561,232,5,0,4,2,1,0.28
宁波市,544,1119.462536,30295.84834,153,3.424836601,12.65359477,143,4,0,4,2,1,0.28
青岛市,481,2064.606718,60925.46692,156,6.057692308,14.13461538,802,16,1,4,2,1,0.32
苏州市,465,1071.756832,33349.14363,134,3.76119403,13.14179104,332,8,0,4,2,1,0.29
西安市,451,911.7271058,26823.26387,134,2.634328358,12.30597015,242,24,0,4,2,1,0.3
绍兴市,396,577.5160414,17919.18518,92,2.967391304,11.10869565,125,4,0,4,2,1,0.23
东莞市,346,566.6797362,19326.40854,78,2.871794872,13.74358974,189,7,0,4,2,1,0.23
哈尔滨市,341,724.2147526,17814.18288,82,5.707317073,14.07317073,22,0,0,4,2,1,0.24
沈阳市,324,583.8881481,15033.57772,76,3.302631579,13.34210526,67,10,0,4,2,0,0.23
常州市,307,599.919855,19816.18747,60,5.65,15.13333333,180,2,0,4,2,1,0.2
厦门市,301,589.5939542,15482.10595,58,5.172413793,15.32758621,23,0,0,4,2,1,0.19
长沙市,291,927.9192983,30925.28666,74,8.472972973,16.33783784,325,1,0,4,2,1,0.25
长春市,257,1105.158923,32947.99421,87,7.75862069,16.03448276,324,124,8,4,2,1,0.34
贵阳市,256,596.539823,20673.96794,49,7.081632653,15.95918367,251,11,3,4,2,1,0.19
