city,citycode,route_total_distance,route_avg_distance,route_count_over_20km,route_ratio_over_20km,route_count_over_10km,route_ratio_over_10km,route_connectivity,network_connectivity,route_count,network_length_km,repetition_rate,average_circuity,count_circuity_over_2,ratio_circuity_over_2,count_circuity_over_1_5,ratio_circuity_over_1_5,average_stop_spacing,count_spacing_over_1km,ratio_spacing_over_1km,count_spacing_over_half_km,ratio_spacing_over_half_km,trip_number,variance,avg_total_headway,avg_peak_headway,count_peak_over_10min,ratio_peak_over_10min,count_peak_over_20min,ratio_peak_over_20min,count_avg_over_15min,ratio_avg_over_15min,count_avg_over_30min,ratio_avg_over_30min,min_velocity,operation_distance,vehicle_count,distance_per_fuel_vehicle,operation_total_distance_ratio,avg_speed,route_terminal_ratio,terminal_having_3_routes,avg_service_hour,e_price
Jincheng_Shanxi,140500,531.27765,11.80617,0,0,33,0.733333333,3.199346405,1.460784314,45,145.7288359,3.645659053,1.541012948,4,0.088888889,22,0.488888889,0.770039006,2,0.044444444,44,0.977777778,2240,6478.927536,31.77834201,28.77584204,18,0.4,34,0.755555556,22,0.488888889,34,0.755555556,15.88824645,26231299.88,608,43143.58533,49.37399471,16.29816541,1.25,0.055555556,11.64444444,0.5092
Cangzhou_Hebei,130900,1105.65632,12.28507022,4,0.044444444,68,0.755555556,4.494680851,1.441489362,90,211.592459,5.225405126,1.549438307,11,0.122222222,43,0.477777778,0.847739493,18,0.2,84,0.933333333,3818,19911.2971,22.69675263,17.43597884,29,0.322222222,75,0.833333333,36,0.4,74,0.822222222,14.57263502,46731793.64,720,64905.26894,42.26611181,15.33027502,1.914893617,0.212765957,11.84444444,0.630004167
Shuozhou_Shanxi,140600,601.543,11.79496078,3,0.058823529,34,0.666666667,2.836990596,1.329153605,51,178.11023,3.377363558,2.34446976,9,0.176470588,22,0.431372549,0.798343421,4,0.078431373,45,0.882352941,1679,5245.780797,25.3143556,18.13619048,9,0.176470588,40,0.784313725,10,0.196078431,33,0.647058824,17.10297152,18823088,426,44185.65258,31.29134243,18.11495011,1.275,0.075,11.11764706,0.5092
Hengshui_Hebei,131100,1231.34912,17.34294535,22,0.309859155,53,0.746478873,2.5,1.421130952,71,394.5638225,3.120785662,1.535403908,6,0.084507042,33,0.464788732,1.3114941,47,0.661971831,68,0.957746479,1438,3005.210145,54.54818065,38.47761194,4,0.056338028,14,0.197183099,8,0.112676056,14,0.197183099,17.76891886,21054762.64,248,84898.23645,17.09893831,18.75924495,1.69047619,0.119047619,11.56338028,0.630004167
Xinzhou_Shanxi,140900,337.50777,17.76356684,4,0.210526316,19,1,1.644897959,1.244897959,19,139.2445054,2.423849825,4.327826474,6,0.315789474,12,0.631578947,1.767416282,17,0.894736842,19,1,445,255.7373188,45.27344223,43.34586466,1,0.052631579,6,0.315789474,2,0.105263158,8,0.421052632,19.06975393,7541538.57,48,157115.3869,22.34478504,20.84706724,1.055555556,0,11.68421053,0.5092
Langfang_Hebei,131000,1943.03306,19.82686796,42,0.428571429,96,0.979591837,4.634340223,1.314785374,98,442.0434265,4.395570534,1.695299877,17,0.173469388,67,0.683673469,1.21613542,74,0.755102041,98,1,2861,11707.47645,28.31640454,18.5931677,1,0.010204082,79,0.806122449,1,0.010204082,68,0.693877551,18.54754569,58559643.4,701,83537.29444,30.13826404,19.60163675,1.606557377,0.114754098,12.46938776,0.630004167
Datong_Shanxi,140200,2087.3528,15.34818235,27,0.198529412,109,0.801470588,3.970230041,1.527740189,136,458.4881475,4.552686501,2.150996396,27,0.198529412,90,0.661764706,1.463143415,61,0.448529412,132,0.970588235,8245,95161.82428,16.27377748,11.97730552,83,0.610294118,124,0.911764706,86,0.632352941,119,0.875,16.40467084,118543446,1775,66785.04,56.79128416,17.49133785,1.6,0.164705882,12.96323529,0.5092
Yuncheng_Shanxi,140800,1249.70772,18.37805471,23,0.338235294,64,0.941176471,3.479474548,1.431855501,68,269.7934041,4.632091448,1.656574598,11,0.161764706,40,0.588235294,1.391208717,55,0.808823529,68,1,3250,12330.77536,19.01470588,17.13235294,10,0.147058824,62,0.911764706,18,0.264705882,65,0.955882353,16.80718521,59674581.78,426,140081.1779,47.75083071,18.81075292,1.658536585,0.146341463,13.41176471,0.5092
Linfen_Shanxi,141000,1096.94473,14.06339397,14,0.179487179,62,0.794871795,3.826196474,1.37279597,78,235.8950636,4.650138554,1.706129832,9,0.115384615,33,0.423076923,1.274339376,28,0.358974359,73,0.935897436,1665,10632.67935,25.70332428,22.17009895,34,0.435897436,54,0.692307692,38,0.487179487,46,0.58974359,17.1284134,22789232.28,455,50086.22479,20.77518735,18.43006841,1.625,0.104166667,6.935897436,0.5092
Chifeng_Inner Mongolia,150400,522.50003,14.51388972,6,0.166666667,27,0.75,2.234597156,1.265402844,36,201.1666978,2.597348545,2.728340896,10,0.277777778,21,0.583333333,0.957512253,16,0.444444444,36,1,1241,2175.95471,23.45980689,20.27777778,3,0.083333333,35,0.972222222,3,0.083333333,35,0.972222222,16.97885324,18789891.69,137,137152.4941,35.96151313,18.82085504,1.285714286,0.071428571,12.86111111,0.503
