,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
SA21436,-9.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-8.0,-19.0,0.0,-20.0,0.0,11.823447215641657,0.0,-28.0,0.0,0.0
SA26859,-10.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,0.0,-19.0,-8.0,-15.0,0.0,11.855553827023154,-8.881784197001252e-16,-27.0,0.0,0.0
SA27483,-10.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-20.0,-8.0,0.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-12.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,0.0,-19.0,-8.0,-20.0,0.0,11.856372969889795,-8.881784197001252e-16,-27.0,0.0,0.0
SA28360,-15.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4.0,0.0,-10.0,0.0,-20.0,-8.0,0.0,-17.0,0.0,0.0,-15.0,0.0,0.0,-6.0,-20.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,11.973470835011337,8.881784197001252e-16,-24.0,0.0,0.0
SA28468,-8.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,-8.0,-19.0,0.0,-15.0,0.0,11.815512715789737,0.0,-28.0,0.0,0.0
SA28477,-21.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,12.416125235466584,1.7763568394002505e-15,-15.0,0.0,0.0
SA28536,-14.0,-13.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-6.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,0.0,-15.0,-7.0,0.0,0.0,-20.0,0.0,-10.0,0.0,0.0,0.0,-5.0,0.0,-20.0,0.0,0.0,-20.0,0.0,-20.0,0.0,11.936801645378363,-8.881784197001252e-16,-26.0,0.0,0.0
SA29423,-3.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-7.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-5.0,-6.0,-3.0,0.0,-5.0,-6.0,-3.0,-11.0,-8.0,-14.0,0.0,-9.0,-2.0,11.770150114462364,0.0,-28.0,0.0,0.0
SA29533,-11.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-20.0,-8.0,-4.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-10.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-19.0,0.0,-20.0,0.0,11.845828665695564,0.0,-28.0,0.0,0.0
SA29698,-11.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,-4.0,-9.0,-14.0,-16.0,-15.0,-7.0,0.0,-6.0,-20.0,0.0,-7.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-8.0,-19.0,0.0,-20.0,0.0,11.854664024467349,0.0,-28.0,0.0,0.0
