,0,1
SA21436,-61.40342832028982,-2031.377074244546
SA26859,-60.706013196742134,-2037.0471380865113
SA27483,-60.708832339608776,-2036.6467882995053
SA28360,-57.49936499994276,-2062.44127360556
SA28468,-61.9794938204379,-2029.0275615558887
SA28477,-53.26032378603534,-2157.0662197040297
SA28536,-58.30573928016816,-2055.782044393962
SA29423,-64.93813121911053,-2018.6337002014923
SA29533,-60.23580977034373,-2037.2742306826815
SA29698,-60.23464512911551,-2038.4463799467358
SA29888,-58.9720736542008,-2047.726171835404
SA29911,-56.1641899231092,-2081.8078285440843
SA30223,-58.303400372243814,-2056.4109538173457
SA30225,-61.29506567812917,-2033.0992352944963
SA30397,-61.40567405539182,-2031.0964647732458
SA30611,-58.38847239323897,-2053.8862356289073
SA30729,-60.12712879725807,-2040.386534666852
SA30760,-62.46973668141805,-2028.624206093285
SA30770,-64.3410764395532,-2019.5783483422217
SA30947,-63.158410558828784,-2024.2719228833773
SA30949,-50.549939684797145,-2910.220422041754
SA30969,-57.82060243379161,-2057.632014647753
SA31074,-53.47899823397497,-2156.2115598659325
SA31075,-56.83069236383409,-2071.1260555875015
SA31151,-49.51707575970305,-2957.8033363213935
SA31162,-58.393909924760536,-2053.0651988041473
SA31280,-56.07414456979468,-2084.701786472119
SA31372,-61.392759669975874,-2031.585321413684
SA31411,-61.983739555539906,-2028.7469520845887
SA31427,-59.655933154027316,-2041.5661905637949
SA31612,-57.50504779773134,-2062.0179649692705
SA31781,-62.56918385179819,-2026.550719874243
SA31783,-57.49667179420229,-2063.018735730786
SA31890,-59.55013891081822,-2044.7871250420694
SA31909,-58.306557777186484,-2055.381694606956
SA31948,-63.061820492558866,-2026.1841703769826
SA31961,-60.13059262369592,-2039.2158869514435
SA31994,-60.234992418846,-2037.6745804696875
SA32002,-60.813875270491806,-2034.9247179940241
SA32009,-59.550958053684866,-2044.3867752550636
SA32023,-54.1867999492581,-2126.039803094889
SA32148,-66.14040626335023,-2016.6569616414943
SA32154,-50.03797960776882,-2929.3038915187526
SA32177,-60.71553637185588,-2036.0298615938843
SA32195,-60.129947696594044,-2039.3966507751684
SA32203,-57.72793049439233,-2061.1725186608633
SA32205,-60.131411766562564,-2038.8155371644377
SA32221,-50.87183762154171,-2903.2480527753314
SA32233,-61.99376327875198,-2028.7194687391755
SA32235,-64.94626866441992,-2018.2446650771235
SA32240,-61.29224679910584,-2033.499585081502
SA32290,-58.30421951511046,-2056.01060403034
SA32307,-57.604761395226596,-2061.877367387946
SA32309,-59.076124368251484,-2046.956664830696
SA32347,-57.40850114960992,-2065.7355813206004
SA32362,-61.29442075102729,-2033.2799991182212
SA32363,-65.53521403848352,-2017.9906449065925
SA32375,-58.88120915801964,-2051.0204795504446
SA32393,-49.58050293793756,-2948.993777076741
SA32405,-58.97453806315759,-2047.27437475024
SA32452,-65.54332344397724,-2017.300016936394
SA32485,-65.54267851687537,-2017.4807807601192
SA32519,-53.017034022135284,-2172.46842816707
SA32523,-62.56982877890006,-2026.3699560505179
SA32527,-60.71700017798108,-2035.4487479831537
SA32529,-64.94562373731804,-2018.4254289008486
SA32544,-58.40228592828958,-2052.064428042632
