,0,1
SA22898,-66.37155598309542,-9365.242567506992
SA26242,-60.034212048707126,-9446.487464982627
SA26251,-61.39340459707774,-9438.906303071075
SA27238,-55.908430216857745,-9512.829821225985
SA27773,-62.5687205274685,-9416.807259729067
SA27826,-59.438193769735044,-9451.18518480161
SA28631,-66.14040626335023,-9368.05977364061
SA29002,-65.16911825054476,-9375.303373679142
SA29106,-57.66901614298636,-9477.477170201018
SA29561,-66.74147923362294,-9364.847472841222
SA29566,-61.63640193589477,-9435.557938150585
SA29575,-56.847795204716384,-9493.466818601324
SA29679,-59.80258009017104,-9450.250113483757
SA29691,-57.436117170099756,-9480.781937116977
SA29930,-55.67735563005489,-9515.670812073251
SA29967,-56.49675218224112,-9500.14493974164
SA30013,-49.49598235992288,-9898.852600005712
SA30072,-61.624391628511965,-9436.070069166535
SA30324,-55.67096297074737,-9522.763882978648
SA30353,-63.75049436996961,-9393.501460128085
SA30376,-57.43544015964261,-9482.548241934612
SA30445,-62.21048085187213,-9424.793604939294
SA30623,-63.15905548593065,-9404.23379242227
SA30628,-62.21472658697412,-9423.496601859739
SA30639,-50.549939684797145,-9737.402382331384
SA30663,-59.20656181119895,-9454.94783330274
SA30697,-65.1685608788115,-9376.225031333004
SA30748,-55.90694338677408,-9513.777329300345
SA30749,-49.3434001347911,-9956.984000099357
SA30813,-56.257631834048354,-9508.303995939643
SA30816,-49.51707575970305,-9894.6210945575
SA30919,-53.939849254690515,-9566.886178558912
SA30938,-56.493245694628385,-9501.695470122739
SA30940,-62.56918385179819,-9415.982786133627
SA31086,-53.93643578187099,-9567.565919384871
SA31106,-55.67800055715676,-9514.744397476663
SA31128,-55.67595635887207,-9516.613709212632
SA31201,-56.850248556430756,-9491.609472337022
SA31229,-65.77375310367823,-9369.770855776294
SA31237,-56.85021647307548,-9492.449362558062
SA31293,-56.26182497254108,-9505.786173992581
SA31315,-52.774867729272295,-9609.374871846003
SA31384,-61.00138080691859,-9442.48573970142
SA31385,-54.75381365216475,-9544.296038905593
SA31408,-64.94562373731804,-9377.26786564612
SA31474,-58.612556399259596,-9459.06255732508
SA31529,-57.079427163252475,-9489.704170100193
SA31576,-54.51937858127645,-9548.515356488077
SA31642,-50.547455491576265,-9740.30874942515
SA31660,-53.34945737175733,-9595.940106490034
SA31691,-55.08672408330607,-9541.99846031104
SA31714,-57.43853843845885,-9479.764481073718
SA31752,-56.26251781412543,-9504.582056275927
SA31785,-53.352083855817206,-9589.069337981746
SA31786,-54.520772571620775,-9545.247913265363
SA31806,-57.66896809815984,-9477.849904823042
SA31812,-54.98882395487352,-9543.757249657127
SA31813,-58.255394083562074,-9466.100711949135
SA31823,-63.748992628412374,-9394.454373497016
SA31826,-56.266322522540136,-9502.059515992316
SA31833,-61.23254504506132,-9439.685438835064
SA31835,-65.54267851687537,-9372.611846623562
SA31852,-55.0910188403051,-9537.988818192767
SA31874,-50.268092494745815,-9798.116210701502
SA31877,-63.390042517364876,-9401.397558517732
SA31903,-51.64369723326272,-9666.171925712659
SA31938,-54.170077982064,-9563.87757565606
SA31998,-57.43606346607594,-9481.996054168128
SA32065,-63.74963755551425,-9393.527958900424
SA32087,-57.43608508674448,-9481.621827338016
SA32090,-64.94626866441992,-9376.341451049526
SA32094,-56.84774150069257,-9494.680935652472
SA32095,-64.57150609925418,-9380.881050355565
SA32110,-55.100301898206716,-9526.877091194523
SA32118,-55.67306087305587,-9519.680454191528
SA32127,-56.49730955397436,-9499.223282087774
SA32164,-61.98309462843803,-9427.25925036087
SA32174,-53.367204519022074,-9587.05686572649
SA32285,-61.9794938204379,-9427.62983884383
SA32297,-55.09071610509254,-9541.34326562622
SA32300,-48.961105450142455,-10039.484653208552
SA32312,-58.84418835779569,-9455.299908823952
SA32313,-65.54332344397724,-9371.685432026967
SA32314,-58.024407052127856,-9468.936945853675
SA32316,-53.93991591974903,-9566.76062592989
SA32322,-61.978848893336036,-9428.556253440425
SA32340,-49.58050293793756,-9865.783272050505
SA32346,-60.63145755639109,-9442.880834367188
SA32348,-56.49355854958346,-9500.531705320236
SA32350,-63.98062458694847,-9390.691724995882
SA32353,-58.25483671182884,-9467.022369602999
SA32365,-57.66687890194752,-9479.10471107221
SA32370,-53.016644005070255,-9605.588251174564
SA32382,-55.90898758859098,-9511.908163572123
SA32412,-64.57206347098742,-9379.9593927017
SA32421,-55.08667037928227,-9543.21257736219
SA32438,-55.09965697110484,-9527.803505791117
SA32467,-62.80025843860104,-9413.14179528636
SA32492,-55.09536221410582,-9531.813147909392
SA32509,-61.983739555539906,-9426.332835764279
SA32513,-49.99688620798865,-9805.378662325225
SA32527,-54.507311841353186,-9558.565822193046
SA32542,-53.92515603070738,-9583.807412772172
SA32551,-51.38055412554996,-9692.677497200919
SA32567,-52.786347867150326,-9608.56957839102
SA32576,-54.51532018135506,-9550.121511910625
SA32579,-51.09425069740585,-9697.8416663445
SA32595,-53.59372605601022,-9585.380994252933
SA32596,-50.03797960776882,-9801.147156877012
SA32644,-59.209219605333544,-9453.438422909509
SA32667,-51.09673489062673,-9694.935299250736
SA32668,-62.56807560036663,-9417.73367432566
